Full_Filepath,Filepath,Filename,Extension,Alt_Data_Stream,Directory_Depth,Filename_Length,Is_Common_Extension,Contains_Double_Ext,Contains_ADS,Is_Malicious
\program files\libreoffice\share\extensions\wiki-publisher\help\szl.done,\program files\libreoffice\share\extensions\wiki-publisher\help,szl,done,,6,3,0,0,0,0
\windows\winsxs\manifests\amd64_8ff525e445dc9b37e1a606e69a07441e_6595b64144ccf1df_6.0.17134.285_none_eb804c491159ebf9.manifest,\windows\winsxs\manifests,amd64_8ff525e445dc9b37e1a606e69a07441e_6595b64144ccf1df_6.0.17134.285_none_eb804c491159ebf9,manifest,,3,91,0,0,0,0
\program files\amazon corretto\jdk<version>_4\bin\api-ms-win-core-localization-l1-2-0.dll,\program files\amazon corretto\jdk<version>_4\bin,api-ms-win-core-localization-l1-2-0,dll,,4,35,1,0,0,0
\windows\winsxs\manifests\amd64_microsoft-windows-web-app-host.resources_31bf3856ad364e35_10.0.22454.1000_cs-cz_bb16ffd4a67edc31.manifest,\windows\winsxs\manifests,amd64_microsoft-windows-web-app-host.resources_31bf3856ad364e35_10.0.22454.1000_cs-cz_bb16ffd4a67edc31,manifest,,3,102,0,0,0,0
\windows\winsxs\wow64_microsoft-windows-i..ersandsecurityzones_31bf3856ad364e35_<version>_none_64dbb590fddf623e\r\urlmon.dll,\windows\winsxs\wow64_microsoft-windows-i..ersandsecurityzones_31bf3856ad364e35_<version>_none_64dbb590fddf623e\r,urlmon,dll,,4,6,1,0,0,0
\program files\inkscape\lib\python<version>\idlelib\icons\idle_32.png,\program files\inkscape\lib\python<version>\idlelib\icons,idle_32,png,,6,7,1,0,0,0
\program files\gimp 2\lib\python<version>\test\inspect_fodder2.py,\program files\gimp 2\lib\python<version>\test,inspect_fodder2,py,,5,15,0,0,0,0
\program files\amazon corretto\jdk<version>_4\bin\jhsdb.exe,\program files\amazon corretto\jdk<version>_4\bin,jhsdb,exe,,4,5,1,0,0,0
\jobss-kqgmyg\jobss-kqgmyg.jsp,\jobss-kqgmyg,jobss-kqgmyg,jsp,,1,12,0,0,0,1
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_901_for_kb4549949~31bf3856ad364e35~amd64~~10.0.1.8.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_901_for_kb4549949~31bf3856ad364e35~amd64~~10.0.1.8,cat,,4,58,0,0,0,0
\windows\syswow64\mspbde40.dll,\windows\syswow64,mspbde40,dll,,2,8,1,0,0,0
\program files\libreoffice\program\python-core-<version>\lib\crypt.py,\program files\libreoffice\program\python-core-<version>\lib,crypt,py,,5,5,0,0,0,0
\program files\zoom\bin\language\zlang_tr.dll,\program files\zoom\bin\language,zlang_tr,dll,,4,8,1,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\microsoft-windows-appmanagement-uev-package~31bf3856ad364e35~amd64~~10.0.19041.1151.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},microsoft-windows-appmanagement-uev-package~31bf3856ad364e35~amd64~~10.0.19041.1151,cat,,4,83,0,0,0,0
\program files\libreoffice\share\extensions\nlpsolver\help\is\help.key_,\program files\libreoffice\share\extensions\nlpsolver\help\is,help,key_,,7,4,0,0,0,0
\icmp\icmp.jsp,\icmp,icmp,jsp,,1,4,0,0,0,1
\windows\syswow64\mstsc.exe,\windows\syswow64,mstsc,exe,,2,5,1,0,0,0
\program files (x86)\microsoft\edgeupdate\download\{56eb18f8-b008-4cbd-b6d2-8c97fe7e9062}\<version>\microsoftedge_x64_100.0.1185.44.exe,\program files (x86)\microsoft\edgeupdate\download\{56eb18f8-b008-4cbd-b6d2-8c97fe7e9062}\<version>,microsoftedge_x64_100.0.1185.44,exe,,6,31,1,0,0,0
\program files (x86)\python313-32\lib\stat.py,\program files (x86)\python313-32\lib,stat,py,,3,4,0,0,0,0
\users\<username>\appdata\roaming\n7xy5b.exe:bin,\users\<username>\appdata\roaming,n7xy5b,exe,bin,4,6,1,0,1,1
\program files\winmerge\unins000.dat,\program files\winmerge,unins000,dat,,2,8,0,0,0,0
\windows\servicing\packages\package_3299_for_kb4505064~31bf3856ad364e35~amd64~~10.0.1.0.mum,\windows\servicing\packages,package_3299_for_kb4505064~31bf3856ad364e35~amd64~~10.0.1.0,mum,,3,59,0,0,0,0
\windows\winsxs\amd64_hyperv-isolatedvm-svc-extension_31bf3856ad364e35_<version>_none_40ea860334310143\r\vmsvcext.sys,\windows\winsxs\amd64_hyperv-isolatedvm-svc-extension_31bf3856ad364e35_<version>_none_40ea860334310143\r,vmsvcext,sys,,4,8,1,0,0,0
\users\<username>\appdata\roaming\yx4pn.cmd:bin,\users\<username>\appdata\roaming,yx4pn,cmd,bin,4,5,0,0,1,1
\program files\gimp 2\share\gimp\<version>\icons\color\scalable\apps\process-stop.svg,\program files\gimp 2\share\gimp\<version>\icons\color\scalable\apps,process-stop,svg,,9,12,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_4324_for_kb5005030~31bf3856ad364e35~amd64~~10.0.1.3.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_4324_for_kb5005030~31bf3856ad364e35~amd64~~10.0.1.3,cat,,4,59,0,0,0,0
\windows\servicing\packages\microsoft-windows-ts-merged-package~31bf3856ad364e35~amd64~~10.0.22000.556.cat,\windows\servicing\packages,microsoft-windows-ts-merged-package~31bf3856ad364e35~amd64~~10.0.22000.556,cat,,3,74,0,0,0,0
\windows\winsxs\wow64_microsoft-windows-c..plus-setup-migregdb_31bf3856ad364e35_<version>_none_ed965939376efbbf\migregdb.exe,\windows\winsxs\wow64_microsoft-windows-c..plus-setup-migregdb_31bf3856ad364e35_<version>_none_ed965939376efbbf,migregdb,exe,,3,8,1,0,0,0
\windows\syswow64\spp\tokens\ppdlic\slc-component-sku-ocur-ppdlic.xrm-ms,\windows\syswow64\spp\tokens\ppdlic,slc-component-sku-ocur-ppdlic,xrm-ms,,5,29,0,0,0,0
\program files (x86)\glary utilities\skins\default\fileundelete\combo.png,\program files (x86)\glary utilities\skins\default\fileundelete,combo,png,,5,5,1,0,0,0
\program files (x86)\amazon corretto\jdk<version>_442\sample\jmx\jmx-scandir\src\com\sun\jmx\examples\scandir\config\directoryscannerconfig.java,\program files (x86)\amazon corretto\jdk<version>_442\sample\jmx\jmx-scandir\src\com\sun\jmx\examples\scandir\config,directoryscannerconfig,java,,13,22,0,0,0,0
\program files\libreoffice\share\fingerprint\ti.lm,\program files\libreoffice\share\fingerprint,ti,lm,,4,2,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_1008_for_kb4489868~31bf3856ad364e35~amd64~~10.0.1.5.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_1008_for_kb4489868~31bf3856ad364e35~amd64~~10.0.1.5,cat,,4,59,0,0,0,0
\program files (x86)\python313-32\lib\encodings\palmos.py,\program files (x86)\python313-32\lib\encodings,palmos,py,,4,6,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\microsoft-windows-server-gui-mgmt-package-admin~31bf3856ad364e35~amd64~~10.0.20348.380.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},microsoft-windows-server-gui-mgmt-package-admin~31bf3856ad364e35~amd64~~10.0.20348.380,cat,,4,86,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-printing-fdprint_31bf3856ad364e35_<version>_none_5523b917edcf6c2a\63921eef-8415-4368-9201-f0df4af5778f.devicemetadata-ms,\windows\winsxs\amd64_microsoft-windows-printing-fdprint_31bf3856ad364e35_<version>_none_5523b917edcf6c2a,63921eef-8415-4368-9201-f0df4af5778f,devicemetadata-ms,,3,36,0,0,0,0
\windows\system32\config\systemprofile\appdata\local\microsoft\installservice\{ced1a7b0-1a81-4fd1-a625-b952fbfdedf2}.checkpoint,\windows\system32\config\systemprofile\appdata\local\microsoft\installservice,{ced1a7b0-1a81-4fd1-a625-b952fbfdedf2},checkpoint,,8,38,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_3052_for_kb4532691~31bf3856ad364e35~amd64~~10.0.1.7.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_3052_for_kb4532691~31bf3856ad364e35~amd64~~10.0.1.7,cat,,4,59,0,0,0,0
\users\<username>\downloads\valorant_setup_<version>.exe:zone.identifier,\users\<username>\downloads,valorant_setup_<version>,exe,zone.identifier,3,24,1,0,1,0
\program files\putty\readme.txt,\program files\putty,readme,txt,,2,6,1,0,0,0
\program files (x86)\microsoft onedrive\<version>\api-ms-win-core-processthreads-l1-1-1.dll,\program files (x86)\microsoft onedrive\<version>,api-ms-win-core-processthreads-l1-1-1,dll,,3,37,1,0,0,0
\system\oracle\smss.exe,\system\oracle,smss,exe,,2,4,1,0,0,1
\users\<username>\documents\valorant_setup_<version>.exe:zone.identifier,\users\<username>\documents,valorant_setup_<version>,exe,zone.identifier,3,24,1,0,1,0
\program files (x86)\dropbox\client\<version>\assets\logo.targetsize-40_contrast-white.png,\program files (x86)\dropbox\client\<version>\assets,logo.targetsize-40_contrast-white,png,,5,33,1,0,0,0
\windows\system32\driverstore\filerepository\wstorflt.inf_amd64_613971e49f6839df\vmstorfl.sys,\windows\system32\driverstore\filerepository\wstorflt.inf_amd64_613971e49f6839df,vmstorfl,sys,,5,8,1,0,0,0
\windows\softwaredistribution\download\f536067c7d0242a610a73bfa5266e819\metadata\desktoptargetcompdb_professionaln_da-dk.xml.cab,\windows\softwaredistribution\download\f536067c7d0242a610a73bfa5266e819\metadata,desktoptargetcompdb_professionaln_da-dk.xml,cab,,5,43,1,1,0,0
\program files\libreoffice\help\media\icon-themes\cmd\lc_showerrors.svg,\program files\libreoffice\help\media\icon-themes\cmd,lc_showerrors,svg,,6,13,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_3939_for_kb4561608~31bf3856ad364e35~amd64~~10.0.1.9.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_3939_for_kb4561608~31bf3856ad364e35~amd64~~10.0.1.9,cat,,4,59,0,0,0,0
\program files\libreoffice\help\media\icon-themes\svx\res\fr010.svg,\program files\libreoffice\help\media\icon-themes\svx\res,fr010,svg,,7,5,0,0,0,0
\temp\craftmanager2.exe,\temp,craftmanager2,exe,,1,13,1,0,0,1
\windows\syswow64\en-gb\printui.dll.mui,\windows\syswow64\en-gb,printui.dll,mui,,3,11,1,1,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_1020_for_kb4505064~31bf3856ad364e35~amd64~~10.0.1.0.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_1020_for_kb4505064~31bf3856ad364e35~amd64~~10.0.1.0,cat,,4,59,0,0,0,0
\windows\system32\driverstore\filerepository\usbcir.inf_amd64_dfb934b3da507181\usbcir.sys,\windows\system32\driverstore\filerepository\usbcir.inf_amd64_dfb934b3da507181,usbcir,sys,,5,6,1,0,0,0
\program files (x86)\nvda\locale\pt_br\lc_messages\wxstd.mo,\program files (x86)\nvda\locale\pt_br\lc_messages,wxstd,mo,,5,5,0,0,0,0
\users\<username>\documents\expenses_10_2023.xlsx:zone.identifier,\users\<username>\documents,expenses_10_2023,xlsx,zone.identifier,3,16,1,0,1,0
\program files (x86)\python313-32\lib\site-packages\pip\_vendor\certifi\cacert.pem,\program files (x86)\python313-32\lib\site-packages\pip\_vendor\certifi,cacert,pem,,7,6,0,0,0,0
\program files (x86)\openoffice 4\program\python-core-<version>\lib\encodings\euc_jp.py,\program files (x86)\openoffice 4\program\python-core-<version>\lib\encodings,euc_jp,py,,6,6,0,0,0,0
\windows\winsxs\wow64_microsoft-windows-mfmpeg2srcsnk_31bf3856ad364e35_<version>_none_63b8c6e465807d56\mfmpeg2srcsnk.dll,\windows\winsxs\wow64_microsoft-windows-mfmpeg2srcsnk_31bf3856ad364e35_<version>_none_63b8c6e465807d56,mfmpeg2srcsnk,dll,,3,13,1,0,0,0
\windows\winsxs\amd64_microsoft-windows-u..n-desktop.resources_31bf3856ad364e35_<version>_en-us_3520c7795be4c6e1\r\windows.ui.shellcommon.en-us.pri,\windows\winsxs\amd64_microsoft-windows-u..n-desktop.resources_31bf3856ad364e35_<version>_en-us_3520c7795be4c6e1\r,windows.ui.shellcommon.en-us,pri,,4,28,0,0,0,0
\users\<username>\downloads\preview_employee_report.doc.exe,\users\<username>\downloads,preview_employee_report.doc,exe,,3,27,1,1,0,1
\program files\gimp 2\lib\python<version>\site-packages\chardet\langgreekmodel.py,\program files\gimp 2\lib\python<version>\site-packages\chardet,langgreekmodel,py,,6,14,0,0,0,0
\windows\syswow64\windowspowershell\v<version>\modules\psdesiredstateconfiguration\dscresources\msft_scriptresource\msft_scriptresource.schema.mof,\windows\syswow64\windowspowershell\v<version>\modules\psdesiredstateconfiguration\dscresources\msft_scriptresource,msft_scriptresource.schema,mof,,8,26,0,0,0,0
\program files\zoom\resources\emojis\1f4a0.svg,\program files\zoom\resources\emojis,1f4a0,svg,,4,5,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\microsoft-windows-tabletpcmath-base-package~31bf3856ad364e35~amd64~~10.0.22454.1000.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},microsoft-windows-tabletpcmath-base-package~31bf3856ad364e35~amd64~~10.0.22454.1000,cat,,4,83,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\microsoft-windows-server-features-remainder-wow64-shell-package~31bf3856ad364e35~amd64~en-us~10.0.14393.0.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},microsoft-windows-server-features-remainder-wow64-shell-package~31bf3856ad364e35~amd64~en-us~10.0.14393.0,cat,,4,105,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_4519_for_kb5005030~31bf3856ad364e35~amd64~~10.0.1.3.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_4519_for_kb5005030~31bf3856ad364e35~amd64~~10.0.1.3,cat,,4,59,0,0,0,0
\windows\servicing\packages\microsoft-windows-servercore-wowrequired-net-wow64-package~31bf3856ad364e35~amd64~~10.0.17763.1.cat,\windows\servicing\packages,microsoft-windows-servercore-wowrequired-net-wow64-package~31bf3856ad364e35~amd64~~10.0.17763.1,cat,,3,95,0,0,0,0
\program files (x86)\openoffice 4\share\config\wizard\form\styles\grey.css,\program files (x86)\openoffice 4\share\config\wizard\form\styles,grey,css,,7,4,0,0,0,0
\program files\blender foundation\blender <version>\<version>\scripts\addons_core\rigify\rigs\face\skin_jaw.py,\program files\blender foundation\blender <version>\<version>\scripts\addons_core\rigify\rigs\face,skin_jaw,py,,9,8,0,0,0,0
\program files (x86)\python313-32\lib\test\test_codecencodings_kr.py,\program files (x86)\python313-32\lib\test,test_codecencodings_kr,py,,4,22,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-p..g-xpsdocumentwriter_31bf3856ad364e35_<version>_none_33ec78239bd50319\prnms001.inf,\windows\winsxs\amd64_microsoft-windows-p..g-xpsdocumentwriter_31bf3856ad364e35_<version>_none_33ec78239bd50319,prnms001,inf,,3,8,0,0,0,0
\users\<username>\documents\budget_2022.xlsx:zone.identifier,\users\<username>\documents,budget_2022,xlsx,zone.identifier,3,11,1,0,1,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_2352_for_kb4570333~31bf3856ad364e35~amd64~~10.0.1.7.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_2352_for_kb4570333~31bf3856ad364e35~amd64~~10.0.1.7,cat,,4,59,0,0,0,0
\windows\syswow64\en-us\dmdskres.dll.mui,\windows\syswow64\en-us,dmdskres.dll,mui,,3,12,1,1,0,0
\windows\winsxs\wow64_microsoft-windows-appidcore_31bf3856ad364e35_<version>_none_9b621438b3c885bf\r\srpapi.dll,\windows\winsxs\wow64_microsoft-windows-appidcore_31bf3856ad364e35_<version>_none_9b621438b3c885bf\r,srpapi,dll,,4,6,1,0,0,0
\program files\microsoft vs code\resources\app\extensions\cpp\syntaxes\cuda-cpp.tmlanguage.json,\program files\microsoft vs code\resources\app\extensions\cpp\syntaxes,cuda-cpp.tmlanguage,json,,7,19,0,0,0,0
\program files (x86)\glary utilities\languages\cymraeg.lng,\program files (x86)\glary utilities\languages,cymraeg,lng,,3,7,0,0,0,0
\program files\inkscape\share\inkscape\icons\tango\scalable\actions\xml-node-delete.svg,\program files\inkscape\share\inkscape\icons\tango\scalable\actions,xml-node-delete,svg,,8,15,0,0,0,0
\inetpub\wwwroot\aspnet_client\aspnet_pages.aspx,\inetpub\wwwroot\aspnet_client,aspnet_pages,aspx,,3,12,1,0,0,1
\program files\inkscape\lib\python<version>\site-packages\numpy\_core\_operand_flag_tests.cp311-mingw_x86_64_ucrt.pyd,\program files\inkscape\lib\python<version>\site-packages\numpy\_core,_operand_flag_tests.cp311-mingw_x86_64_ucrt,pyd,,7,43,0,0,0,0
\program files (x86)\mediamonkey\scripts\artanddetailslayout\controls\artwindow_add.js,\program files (x86)\mediamonkey\scripts\artanddetailslayout\controls,artwindow_add,js,,5,13,0,0,0,0
\program files\microsoft office\root\office16\sdxs\fa000000156\offlinefiles\powerpoint-narrative-builder-strings.min_c34024bf51ed54306ef48deb45a96fc7.js,\program files\microsoft office\root\office16\sdxs\fa000000156\offlinefiles,powerpoint-narrative-builder-strings.min_c34024bf51ed54306ef48deb45a96fc7,js,,7,73,0,0,0,0
\program files\microsoft office\root\office16\sdxs\fa000000084\fluidhost\static\js\videoplaybackstrings47.a4fd9976.chunk.js,\program files\microsoft office\root\office16\sdxs\fa000000084\fluidhost\static\js,videoplaybackstrings47.a4fd9976.chunk,js,,9,37,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-mfsrcsnk_31bf3856ad364e35_<version>_none_c0e8b24a7ab721f3\mfsrcsnk.dll,\windows\winsxs\amd64_microsoft-windows-mfsrcsnk_31bf3856ad364e35_<version>_none_c0e8b24a7ab721f3,mfsrcsnk,dll,,3,8,1,0,0,0
\windows\winsxs\amd64_microsoft-windows-tabletpc-accessories_31bf3856ad364e35_<version>_none_fb6b7b10cde99b9b\tabletpcaccessories-ppdlic.xrm-ms,\windows\winsxs\amd64_microsoft-windows-tabletpc-accessories_31bf3856ad364e35_<version>_none_fb6b7b10cde99b9b,tabletpcaccessories-ppdlic,xrm-ms,,3,26,0,0,0,0
\program files\gimp 2\share\gimp\<version>\icons\color\scalable\apps\edit-paste.svg,\program files\gimp 2\share\gimp\<version>\icons\color\scalable\apps,edit-paste,svg,,9,10,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_1553_for_kb4577668~31bf3856ad364e35~amd64~~10.0.1.6.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_1553_for_kb4577668~31bf3856ad364e35~amd64~~10.0.1.6,cat,,4,59,0,0,0,0
\windows\winsxs\manifests\amd64_microsoft-windows-i..-ccshared.resources_31bf3856ad364e35_10.0.17134.1_en-us_42d01c686b1c9d38.manifest,\windows\winsxs\manifests,amd64_microsoft-windows-i..-ccshared.resources_31bf3856ad364e35_10.0.17134.1_en-us_42d01c686b1c9d38,manifest,,3,99,0,0,0,0
\program files\microsoft office\root\office16\sdxs\fa000000108\offlinefiles\main.bundle.js.map,\program files\microsoft office\root\office16\sdxs\fa000000108\offlinefiles,main.bundle.js,map,,7,14,0,1,0,0
\program files\inkscape\share\icons\hicolor\scalable\apps\org.inkscape.inkscape.svg,\program files\inkscape\share\icons\hicolor\scalable\apps,org.inkscape.inkscape,svg,,7,21,0,0,0,0
\windows\syswow64\spp\tokens\skus\csvlk-pack\csvlk-pack-volume-csvlk-3-pl-rtm.xrm-ms,\windows\syswow64\spp\tokens\skus\csvlk-pack,csvlk-pack-volume-csvlk-3-pl-rtm,xrm-ms,,6,32,0,0,0,0
\users\<username>\desktop\slack_setup_<version>.exe:zone.identifier,\users\<username>\desktop,slack_setup_<version>,exe,zone.identifier,3,21,1,0,1,0
\program files\gimp 2\share\gimp\<version>\icons\symbolic-inverted-high-contrast\24x24\apps\gimp-prefs-interface.svg,\program files\gimp 2\share\gimp\<version>\icons\symbolic-inverted-high-contrast\24x24\apps,gimp-prefs-interface,svg,,9,20,0,0,0,0
\windows\syswow64\en-us\amstream.dll.mui,\windows\syswow64\en-us,amstream.dll,mui,,3,12,1,1,0,0
\program files\gimp 2\share\mypaint-data\<version>\brushes\tanda\acrylic-05-only-water.myb,\program files\gimp 2\share\mypaint-data\<version>\brushes\tanda,acrylic-05-only-water,myb,,7,21,0,0,0,0
\inetpub\wwwroot\aspnet_client\aspnet_www.aspx,\inetpub\wwwroot\aspnet_client,aspnet_www,aspx,,3,10,1,0,0,1
\windows\winsxs\manifests\amd64_microsoft-windows-edp-audit_31bf3856ad364e35_10.0.16299.15_none_880f02455253fb19.manifest,\windows\winsxs\manifests,amd64_microsoft-windows-edp-audit_31bf3856ad364e35_10.0.16299.15_none_880f02455253fb19,manifest,,3,86,0,0,0,0
\windows\syswow64\migwiz\replacementmanifests\microsoft-windows-ndis\ndismigplugin.dll,\windows\syswow64\migwiz\replacementmanifests\microsoft-windows-ndis,ndismigplugin,dll,,5,13,1,0,0,0
\program files\gimp 2\lib\python<version>\site-packages\html5lib\_trie\__init__.py,\program files\gimp 2\lib\python<version>\site-packages\html5lib\_trie,__init__,py,,7,8,0,0,0,0
\windows\syswow64\sud.dll,\windows\syswow64,sud,dll,,2,3,1,0,0,0
\program files (x86)\python313-32\lib\test\test_grp.py,\program files (x86)\python313-32\lib\test,test_grp,py,,4,8,0,0,0,0
\program files\inkscape\share\inkscape\icons\dash\symbolic\actions\snap-grid-guide-intersections-symbolic.svg,\program files\inkscape\share\inkscape\icons\dash\symbolic\actions,snap-grid-guide-intersections-symbolic,svg,,8,38,0,0,0,0
\windows\system32\tpmvsc.dll,\windows\system32,tpmvsc,dll,,2,6,1,0,0,0
\program files\inkscape\share\inkscape\extensions\other\extension-afdesign\inkaf\svg\util.py,\program files\inkscape\share\inkscape\extensions\other\extension-afdesign\inkaf\svg,util,py,,9,4,0,0,0,0
\windows\system32\driverstore\filerepository\netathr10x.inf_amd64_4c7e4b93ef82760b\eeprom_ar6320_2p1_nfa345i_hightx.bin,\windows\system32\driverstore\filerepository\netathr10x.inf_amd64_4c7e4b93ef82760b,eeprom_ar6320_2p1_nfa345i_hightx,bin,,5,32,1,0,0,0
\windows\syswow64\speech_onecore\common\windows.speech.dictation.dll,\windows\syswow64\speech_onecore\common,windows.speech.dictation,dll,,4,24,1,0,0,0
\windows\winsxs\amd64_cpu.inf_31bf3856ad364e35_<version>_none_4e08baa9c3582627\fxppm.sys,\windows\winsxs\amd64_cpu.inf_31bf3856ad364e35_<version>_none_4e08baa9c3582627,fxppm,sys,,3,5,1,0,0,0
\users\<username>\documents\spotify_setup_<version>.exe:zone.identifier,\users\<username>\documents,spotify_setup_<version>,exe,zone.identifier,3,23,1,0,1,0
